dataset,genotype,camera,datetime,setup,filename,fly_id,is_male,total_frames,nan_frames,valid_frames,nan_percentage,recording_duration_sec,nan_time_sec,nan_time_min,frame_rate
dataset_1,DGRP774,CamA,2026-01-13T08,N/A,DGRP774_CamA_2026-01-13T08_12_08_trajectories.csv,5,False,432000,12894,419106,2.9847222222222225,7199.983,214.89999005090291,3.581666500848382,60.00000277778433
dataset_1,DGRP774,CamA,2026-01-13T08,N/A,DGRP774_CamA_2026-01-13T08_12_08_trajectories.csv,6,False,432000,13586,418414,3.1449074074074073,7199.983,226.43332285028438,3.7738887141714064,60.00000277778433
dataset_1,DGRP774,CamA,2026-01-15T08,N/A,DGRP774_CamA_2026-01-15T08_25_18_trajectories.csv,1,True,432000,71538,360462,16.559722222222224,7199.983,1192.2999448007984,19.871665746679973,60.00000277778433
dataset_1,DGRP774,CamA,2026-01-15T08,N/A,DGRP774_CamA_2026-01-15T08_25_18_trajectories.csv,2,False,432000,1102,430898,0.2550925925925926,7199.983,18.366665816356058,0.30611109693926764,60.00000277778433
dataset_1,DGRP774,CamA,2026-01-15T08,N/A,DGRP774_CamA_2026-01-15T08_25_18_trajectories.csv,3,False,432000,26924,405076,6.232407407407408,7199.983,448.7333125585939,7.478888542643232,60.00000277778433
dataset_1,DGRP774,CamA,2026-01-15T08,N/A,DGRP774_CamA_2026-01-15T08_25_18_trajectories.csv,4,False,432000,129,431871,0.02986111111111111,7199.983,2.1499999004627326,0.035833331674378875,60.00000277778433
dataset_1,DGRP774,CamA,2026-01-15T08,N/A,DGRP774_CamA_2026-01-15T08_25_18_trajectories.csv,5,False,432000,22798,409202,5.277314814814814,7199.983,379.9666490755766,6.332777484592943,60.00000277778433
dataset_1,DGRP774,CamA,2026-01-15T08,N/A,DGRP774_CamA_2026-01-15T08_25_18_trajectories.csv,6,False,432000,7342,424658,1.6995370370370368,7199.983,122.3666610015301,2.039444350025502,60.00000277778433
dataset_1,DGRP774,CamB,2026-01-12T10,N/A,DGRP774_CamB_2026-01-12T10_46_09_trajectories.csv,1,False,432000,16740,415260,3.875,7199.983,278.99998708330344,4.649999784721724,60.00000277778433
dataset_1,DGRP774,CamB,2026-01-12T10,N/A,DGRP774_CamB_2026-01-12T10_46_09_trajectories.csv,2,False,432000,103,431897,0.023842592592592592,7199.983,1.7166665871911742,0.02861110978651957,60.00000277778433
